Multiple records in test_sequences.fasta, using first record
Multiple records in nm_2026.fasta, using first record
Multiple records in nm_2026_all_260.fasta, using first record
Multiple records in dnaA.fasta, using first record
Multiple records in testdb.fasta, using first record
Multiple records in B_anthracis_contigs.fasta, using first record
Multiple records in D_pseudoobscura_contigs.fasta, using first record
Multiple records in testdb.fasta, using first record
Multiple records in dnaA.fasta, using first record
Multiple records in testdb.fasta, using first record
Multiple records in B_anthracis_contigs.fasta, using first record
Multiple records in D_pseudoobscura_contigs.fasta, using first record
╔════════════════════════════════════════════════════════════════════╗
║          🔬 FURIN CLEAVAGE SITE (FCS) DETECTOR                  ║
╚════════════════════════════════════════════════════════════════════╝

✅ Found 1751 sequences

🔬 FCS/PRRA DETECTION: 1751 sequences
======================================================================
📈 [1/1751] POSITIVE_CONTROL_2P_Stabilized_Spike.fasta
📈 [11/1751] Omicron_BA2_Spike.fasta
📈 [21/1751] OR134577_1.fasta
📈 [31/1751] PZ212782.1_recent.fasta
📈 [41/1751] PZ212773.1_recent.fasta
📈 [51/1751] NC_045512.2_Wuhan.fasta
📈 [61/1751] Clostridium_perfringens_13.fasta
📈 [71/1751] Saccharomyces_cerevisiae.fasta
📈 [81/1751] BRCA1.fasta
📈 [91/1751] KRAS.fasta
📈 [101/1751] Influenza_B_virus_part4.fasta
📈 [111/1751] Influenza_B_virus_part47.fasta
📈 [121/1751] Influenza_B_virus_part49.fasta
📈 [131/1751] Influenza_B_virus_part6.fasta
📈 [141/1751] Influenza_B_virus_part90.fasta
📈 [151/1751] Influenza_B_virus_part59.fasta
📈 [161/1751] Influenza_B_virus_part85.fasta
📈 [171/1751] Influenza_B_virus_part119.fasta
📈 [181/1751] Influenza_B_virus_part82.fasta
📈 [191/1751] Influenza_B_virus_part26.fasta
📈 [201/1751] Influenza_B_virus_part109.fasta
📈 [211/1751] Influenza_B_virus_part48.fasta
📈 [221/1751] Influenza_B_virus_part42.fasta
📈 [231/1751] 2P_Vaccine.fasta
📈 [241/1751] AGQN01_part12.fasta
📈 [251/1751] LKUA01_part57.fasta
📈 [261/1751] AGQN01_part273.fasta
📈 [271/1751] AGQN01_part290.fasta
📈 [281/1751] AGQN01_part190.fasta
📈 [291/1751] LKUB01_part12.fasta
📈 [301/1751] LKUA01_part215.fasta
📈 [311/1751] AGQN01_part195.fasta
📈 [321/1751] AGQN01_part197.fasta
📈 [331/1751] AGQN01_part272.fasta
📈 [341/1751] AGQN01_part326.fasta
📈 [351/1751] LKUA01_part159.fasta
📈 [361/1751] Influenza_A_virus_part18.fasta
📈 [371/1751] AGQN01_part295.fasta
📈 [381/1751] AGQN01_part294.fasta
📈 [391/1751] LKUA01_part117.fasta
📈 [401/1751] pUC19_part39.fasta
📈 [411/1751] AGQN01_part104.fasta
📈 [421/1751] LKUA01_part87.fasta
📈 [431/1751] AGQN01_part242.fasta
📈 [441/1751] pBluescript_part5.fasta
📈 [451/1751] AGQN01_part77.fasta
📈 [461/1751] LKUA01_part6.fasta
📈 [471/1751] pUC19_part109.fasta
📈 [481/1751] AGQN01_part278.fasta
📈 [491/1751] LKUA01_part60.fasta
📈 [501/1751] pUC19_part173.fasta
📈 [511/1751] pUC19_part77.fasta
📈 [521/1751] LKUB01_part106.fasta
📈 [531/1751] LKUB01_part80.fasta
📈 [541/1751] pUC19_part52.fasta
📈 [551/1751] AGQN01_part203.fasta
📈 [561/1751] LKUB01_part48.fasta
📈 [571/1751] LKUB01_part119.fasta
📈 [581/1751] LKUA01_part110.fasta
📈 [591/1751] AGQN01_part135.fasta
📈 [601/1751] LKUA01_part143.fasta
📈 [611/1751] LKUA01_part190.fasta
📈 [621/1751] pBluescript_part6.fasta
📈 [631/1751] MNPR01_part7.fasta
📈 [641/1751] LKUB01_part9.fasta
📈 [651/1751] LKUA01_part254.fasta
📈 [661/1751] pUC19_part155.fasta
📈 [671/1751] LKUA01_part188.fasta
📈 [681/1751] pUC19_part136.fasta
📈 [691/1751] AGQN01_part80.fasta
📈 [701/1751] AGQN01_part297.fasta
📈 [711/1751] pUC19_part83.fasta
📈 [721/1751] pUC19_part79.fasta
📈 [731/1751] AGQN01_part34.fasta
📈 [741/1751] LKUB01_part45.fasta
📈 [751/1751] LKUB01_part18.fasta
📈 [761/1751] LKUA01_part68.fasta
📈 [771/1751] LKUA01_part301.fasta
📈 [781/1751] AGQN01_part270.fasta
📈 [791/1751] LKUA01_part237.fasta
📈 [801/1751] LKUA01_part262.fasta
📈 [811/1751] AGQN01_part332.fasta
📈 [821/1751] AGQN01_part70.fasta
📈 [831/1751] LKUA01_part128.fasta
📈 [841/1751] pUC19_part143.fasta
📈 [851/1751] pUC19_part108.fasta
📈 [861/1751] LKUB01_part134.fasta
📈 [871/1751] AGQN01_part247.fasta
📈 [881/1751] LKUB01_part2.fasta
📈 [891/1751] LKUA01_part102.fasta
📈 [901/1751] LKUA01_part7.fasta
📈 [911/1751] AGQN01_part84.fasta
📈 [921/1751] AGQN01_part28.fasta
📈 [931/1751] Influenza_A_virus_part20.fasta
📈 [941/1751] LKUB01_part163.fasta
📈 [951/1751] AGQN01_part102.fasta
📈 [961/1751] LKUA01_part311.fasta
📈 [971/1751] AGQN01_part335.fasta
📈 [981/1751] pUC19_part172.fasta
📈 [991/1751] AGQN01_part79.fasta
📈 [1001/1751] LKUA01_part33.fasta
📈 [1011/1751] pUC19_part66.fasta
📈 [1021/1751] pUC19_part88.fasta
📈 [1031/1751] AGQN01_part4.fasta
📈 [1041/1751] pBluescript_part3.fasta
📈 [1051/1751] LKUA01_part75.fasta
📈 [1061/1751] AGQN01_part64.fasta
📈 [1071/1751] LKUB01_part65.fasta
📈 [1081/1751] LKUB01_part137.fasta
📈 [1091/1751] pUC19_part138.fasta
📈 [1101/1751] LKUB01_part21.fasta
📈 [1111/1751] AGQN01_part288.fasta
📈 [1121/1751] LKUA01_part239.fasta
📈 [1131/1751] LKUA01_part285.fasta
📈 [1141/1751] AGQN01_part325.fasta
📈 [1151/1751] AGQN01_part138.fasta
📈 [1161/1751] LKUA01_part217.fasta
📈 [1171/1751] AGQN01_part287.fasta
📈 [1181/1751] LKUB01_part175.fasta
📈 [1191/1751] LKUA01_part134.fasta
📈 [1201/1751] pUC19_part62.fasta
📈 [1211/1751] AGQN01_part312.fasta
📈 [1221/1751] LKUB01_part82.fasta
📈 [1231/1751] LKUA01_part183.fasta
📈 [1241/1751] AGQN01_part69.fasta
📈 [1251/1751] pUC19_part159.fasta
📈 [1261/1751] pUC19_part21.fasta
📈 [1271/1751] AGQN01_part225.fasta
📈 [1281/1751] LKUA01_part246.fasta
📈 [1291/1751] AGQN01_part205.fasta
📈 [1301/1751] sv40_contigs.fasta
📈 [1311/1751] sars_cov_1_spike.fasta
📈 [1321/1751] hiv-2-rod.fasta
📈 [1331/1751] early_hiv_1978_796.fasta
📈 [1341/1751] public_validation_combined.fasta
📈 [1351/1751] NMDOH_144_PZ212786.1.fasta
📈 [1361/1751] NMDOH_032_PZ225514.1.fasta
📈 [1371/1751] NMDOH_315_PZ038814.1.fasta
📈 [1381/1751] NMDOH_022_PZ225524.1.fasta
📈 [1391/1751] NMDOH_299_PZ038830.1.fasta
📈 [1401/1751] NMDOH_199_PZ212731.1.fasta
📈 [1411/1751] NMDOH_134_PZ222096.1.fasta
📈 [1421/1751] NMDOH_281_PZ038848.1.fasta
📈 [1431/1751] NMDOH_060_PZ225486.1.fasta
📈 [1441/1751] NMDOH_064_PZ225482.1.fasta
📈 [1451/1751] NMDOH_183_PZ212747.1.fasta
📈 [1461/1751] NMDOH_016_PZ225530.1.fasta
📈 [1471/1751] NMDOH_117_PZ222113.1.fasta
📈 [1481/1751] NMDOH_191_PZ212739.1.fasta
📈 [1491/1751] NMDOH_111_PZ222119.1.fasta
📈 [1501/1751] NMDOH_241_PZ038888.1.fasta
📈 [1511/1751] NMDOH_098_PZ222132.1.fasta
📈 [1521/1751] NMDOH_158_PZ212772.1.fasta
📈 [1531/1751] NMDOH_153_PZ212777.1.fasta
📈 [1541/1751] NMDOH_042_PZ225504.1.fasta
📈 [1551/1751] NMDOH_207_PZ212723.1.fasta
📈 [1561/1751] NMDOH_080_PZ222150.1.fasta
📈 [1571/1751] NMDOH_057_PZ225489.1.fasta
📈 [1581/1751] NMDOH_272_PZ038857.1.fasta
📈 [1591/1751] NMDOH_276_PZ038853.1.fasta
📈 [1601/1751] NMDOH_220_PZ038909.1.fasta
📈 [1611/1751] NMDOH_154_PZ212776.1.fasta
📈 [1621/1751] NMDOH_198_PZ212732.1.fasta
📈 [1631/1751] NMDOH_088_PZ222142.1.fasta
📈 [1641/1751] NMDOH_166_PZ212764.1.fasta
📈 [1651/1751] NMDOH_116_PZ222114.1.fasta
📈 [1661/1751] NMDOH_046_PZ225500.1.fasta
📈 [1671/1751] NMDOH_177_PZ212753.1.fasta
📈 [1681/1751] NMDOH_110_PZ222120.1.fasta
📈 [1691/1751] human_prnp.fasta
📈 [1701/1751] sars_cov_2_delta.fasta
📈 [1711/1751] MN908947.3_Wuhan_Hu_1_original.fasta
📈 [1721/1751] pax6_cdna.fasta
📈 [1731/1751] B_anthracis_contigs.fasta
📈 [1741/1751] prot.fasta
📈 [1751/1751] D_pseudoobscura_contigs.fasta

======================================================================
📊 FCS/PRRA DETECTION REPORT
======================================================================
✅ CSV saved: FCS_DETECTION.csv
✅ JSON saved: FCS_DETECTION.json

📈 FCS STATISTICS:
  Total sequences: 1746
  PRRA detected: 480
  Priority variants: 9
  RRAR variants: 403
  RRRA variants (Delta P681R): 0

🔬 SEQUENCES WITH PRRA DETECTED:
  - POSITIVE_CONTROL_2P_Stabilized_Wuhan_Spike         Variants: 2
  - POSITIVE_CONTROL_6P_HexaPro_Stabilized_Wuhan_Spike Variants: 2
  - NC_045512.2:21563-25384                            Variants: 2
  - SARS-CoV-2_Delta_B_1_617_2_Spike                   Variants: 2
  - SARS-CoV-2_Omicron_BA_2_Spike                      Variants: 2
  - SARS-CoV-2_Omicron_BA_3_2_(PROXY)_Spike            Variants: 2
  - SARS-CoV-2_Omicron_BA_5_Spike                      Variants: 2
  - SARS-CoV-2_Wuhan_Spike                             Variants: 2
  - SARS-CoV-2_Omicron_BA_1_Spike                      Variants: 2
  - SARS-CoV-2_Wuhan_Spike                             Variants: 2
  - OR134577.1                                         Variants: 1
  - NC_045512.2                                        Variants: 2
  - OR134577.1                                         Variants: 1
  - Figure1_032321_Spike-encoding_contig_assembled_fro Variants: 1
  - PZ213070.1                                         Variants: 1
  - PZ212778.1                                         Variants: 1
  - PZ212775.1                                         Variants: 1
  - PZ212774.1                                         Variants: 1
  - PZ212771.1                                         Variants: 1
  - PZ212782.1                                         Variants: 1
  - PZ212785.1                                         Variants: 1
  - PZ212781.1                                         Variants: 1
  - PZ212784.1                                         Variants: 1
  - OQ771800.1                                         Variants: 1
  - PZ212770.1                                         Variants: 1
  - PZ212776.1                                         Variants: 1
  - PZ212772.1                                         Variants: 1
  - PZ212777.1                                         Variants: 1
  - PZ212780.1                                         Variants: 1
  - PZ212773.1                                         Variants: 1
  - PZ212779.1                                         Variants: 1
  - PZ212783.1                                         Variants: 1
  - PZ212787.1                                         Variants: 1
  - PZ212786.1                                         Variants: 1
  - ON673097.1                                         Variants: 1
  - PZ212769.1                                         Variants: 1
  - SARS-CoV-2_Wuhan_Spike                             Variants: 2
  - NC_045512.2                                        Variants: 2
  - NC_045512.2                                        Variants: 2
  - NC_045512.2                                        Variants: 2
  - SARS-CoV-2_Delta_B_1_617_2_Spike                   Variants: 2
  - SARS-CoV-2_Omicron_BA_2_Spike                      Variants: 2
  - SARS-CoV-2_Omicron_BA_3_2_(PROXY)_Spike            Variants: 2
  - SARS-CoV-2_Omicron_BA_5_Spike                      Variants: 2
  - SARS-CoV-2_Wuhan_Spike                             Variants: 2
  - SARS-CoV-2_Omicron_BA_1_Spike                      Variants: 2
  - NC_000913.3                                        Variants: 176
  - NC_003888.3                                        Variants: 4244
  - NC_000964.3                                        Variants: 44
  - NC_002695.2                                        Variants: 193
  - NC_000913.3                                        Variants: 176
  - NC_009665.1                                        Variants: 106
  - NC_014828.1                                        Variants: 404
  - NC_002663.1                                        Variants: 19
  - NC_003424.3                                        Variants: 33
  - NC_001148.4                                        Variants: 8
  - SARS-CoV-2_Wuhan_Spike                             Variants: 2
  - OR134577.1                                         Variants: 1
  - NC_045512.2                                        Variants: 2
  - OR134577.1                                         Variants: 1
  - NC_000013.11:32315058-32400268                     Variants: 1
  - NC_000017.11:43044295-43125483                     Variants: 4
  - NC_000013.11:48303735-48481674                     Variants: 8
  - NC_000010.11:87863113-87971930                     Variants: 3
  - NC_000017.11:7661779-7687550                       Variants: 1
  - NC_000012.12:49309281-49313198                     Variants: 1
  - NC_000007.14:5526796-5530304                       Variants: 1
  - NC_000008.11:127735434-127742951                   Variants: 1
  - NC_000007.14:55019017-55211628                     Variants: 6
  - NC_000012.12:25245350-25250729                     Variants: 1
  - NC_000007.14:140719327-140924929                   Variants: 7
  - NC_000003.12:179148114-179242973                   Variants: 2
  - NC_000011.10:111995174-112006229                   Variants: 1
  - NC_000001.11:17334530-17362564                     Variants: 1
  - NC_000023.11:76759300-77149552                     Variants: 4
  - NC_000019.10:10858970-11066015                     Variants: 24
  - MK998835.1                                         Variants: 1
  - PZ040055.1                                         Variants: 1
  - PV202161.1                                         Variants: 1
  - MT600768.1                                         Variants: 1
  - PP810928.1                                         Variants: 1
  - CY263778.1                                         Variants: 1
  - PV724361.1                                         Variants: 1
  - MG919967.1                                         Variants: 1
  - PP640384.1                                         Variants: 1
  - PV725361.1                                         Variants: 1
  - PX323416.1                                         Variants: 1
  - MK380390.1                                         Variants: 1
  - OR134577.1                                         Variants: 1
  - Wuhan_WT                                           Variants: 2
  - HexaPro                                            Variants: 2
  - 2P_Vaccine                                         Variants: 2
  - HexaPro                                            Variants: 2
  - gi|1098495440|gb|MNPR01001001.1|                   Variants: 1
  - LKUA01070001.1                                     Variants: 1
  - AGQN01015001.1                                     Variants: 1
  - BM736143.1                                         Variants: 1
  - AGQN01110001.1                                     Variants: 1
  - DQ123905.1                                         Variants: 1
  - BZ777868.1                                         Variants: 1
  - AGQN01044001.1                                     Variants: 1
  - PX910745.1                                         Variants: 1
  - gi|1098492825|gb|MNPR01003001.1|                   Variants: 1
  - gi|1098491226|gb|MNPR01004001.1|                   Variants: 1
  - LKUB01017001.1                                     Variants: 1
  - PZ221223.1                                         Variants: 1
  - gi|1098485374|gb|MNPR01007001.1|                   Variants: 1
  - LKUA01264001.1                                     Variants: 1
  - LKUB01107001.1                                     Variants: 1
  - gi|1098497153|gb|MNPR01000001.1|                   Variants: 2
  - CC158991.1                                         Variants: 1
  - LKUA01026001.1                                     Variants: 1
  - PZ079175.1                                         Variants: 1
  - CC159991.1                                         Variants: 1
  - OR134577.1                                         Variants: 1
  - NC_045512.2:21563-25384                            Variants: 2
  - PZ221223.1                                         Variants: 1
  - OK120840.1                                         Variants: 2
  - NC_045512.2:21563-25384                            Variants: 2
  - OR134577.1                                         Variants: 1
  - OR134577.1                                         Variants: 1
  - OR134577.1                                         Variants: 1
  - PZ212778.1                                         Variants: 1
  - PZ222154.1                                         Variants: 1
  - PZ225537.1                                         Variants: 1
  - PZ225544.1                                         Variants: 1
  - PZ038877.1                                         Variants: 1
  - PZ222101.1                                         Variants: 1
  - PZ212786.1                                         Variants: 1
  - PZ212751.1                                         Variants: 1
  - PZ212715.1                                         Variants: 1
  - PZ225541.1                                         Variants: 1
  - PZ225505.1                                         Variants: 1
  - PZ212768.1                                         Variants: 1
  - PZ225522.1                                         Variants: 1
  - PZ038904.1                                         Variants: 1
  - PZ038855.1                                         Variants: 1
  - PZ225545.1                                         Variants: 1
  - PZ225514.1                                         Variants: 1
  - PZ225534.1                                         Variants: 1
  - PZ225498.1                                         Variants: 1
  - PZ222105.1                                         Variants: 1
  - PZ038831.1                                         Variants: 1
  - PZ038900.1                                         Variants: 1
  - PZ212770.1                                         Variants: 1
  - PZ225535.1                                         Variants: 1
  - PZ212754.1                                         Variants: 1
  - PZ225538.1                                         Variants: 1
  - PZ038814.1                                         Variants: 1
  - PZ212714.1                                         Variants: 1
  - PZ038820.1                                         Variants: 1
  - PZ222091.1                                         Variants: 1
  - PZ225539.1                                         Variants: 1
  - PZ212742.1                                         Variants: 1
  - PZ038824.1                                         Variants: 1
  - PZ038911.1                                         Variants: 1
  - PZ225513.1                                         Variants: 1
  - PZ212748.1                                         Variants: 1
  - PZ225524.1                                         Variants: 1
  - PZ225497.1                                         Variants: 1
  - PZ222133.1                                         Variants: 1
  - PZ222127.1                                         Variants: 1
  - PZ038827.1                                         Variants: 1
  - PZ038828.1                                         Variants: 1
  - PZ038810.1                                         Variants: 1
  - PZ038798.1                                         Variants: 1
  - PZ038884.1                                         Variants: 1
  - PZ038818.1                                         Variants: 1
  - PZ038830.1                                         Variants: 1
  - PZ038795.1                                         Variants: 1
  - PZ225509.1                                         Variants: 1
  - PZ212767.1                                         Variants: 1
  - PZ212779.1                                         Variants: 1
  - PZ038903.1                                         Variants: 1
  - PZ225520.1                                         Variants: 1
  - PZ225528.1                                         Variants: 1
  - PZ038858.1                                         Variants: 1
  - PZ038805.1                                         Variants: 1
  - PZ212731.1                                         Variants: 1
  - PZ038868.1                                         Variants: 1
  - PZ212787.1                                         Variants: 1
  - PZ038865.1                                         Variants: 1
  - PZ222122.1                                         Variants: 1
  - PZ038796.1                                         Variants: 1
  - PZ212759.1                                         Variants: 1
  - PZ038864.1                                         Variants: 1
  - PZ212736.1                                         Variants: 1
  - PZ038847.1                                         Variants: 1
  - PZ222096.1                                         Variants: 1
  - PZ038849.1                                         Variants: 1
  - PZ225491.1                                         Variants: 1
  - PZ222117.1                                         Variants: 1
  - PZ222134.1                                         Variants: 1
  - PZ038851.1                                         Variants: 1
  - PZ222104.1                                         Variants: 1
  - PZ212727.1                                         Variants: 1
  - PZ038882.1                                         Variants: 1
  - PZ038848.1                                         Variants: 1
  - PZ038811.1                                         Variants: 1
  - PZ038872.1                                         Variants: 1
  - PZ038862.1                                         Variants: 1
  - PZ212740.1                                         Variants: 1
  - PZ222139.1                                         Variants: 1
  - PZ222121.1                                         Variants: 1
  - PZ225536.1                                         Variants: 1
  - PZ225471.1                                         Variants: 1
  - PZ038898.1                                         Variants: 1
  - PZ225486.1                                         Variants: 1
  - PZ212735.1                                         Variants: 1
  - PZ222128.1                                         Variants: 1
  - PZ038846.1                                         Variants: 1
  - PZ222107.1                                         Variants: 1
  - PZ222138.1                                         Variants: 1
  - PZ225545.1                                         Variants: 1
  - PZ038895.1                                         Variants: 1
  - PZ222149.1                                         Variants: 1
  - PZ222125.1                                         Variants: 1
  - PZ225482.1                                         Variants: 1
  - PZ222099.1                                         Variants: 1
  - PZ038885.1                                         Variants: 1
  - PZ038841.1                                         Variants: 1
  - PZ038801.1                                         Variants: 1
  - PZ222144.1                                         Variants: 1
  - PZ222115.1                                         Variants: 1
  - PZ225510.1                                         Variants: 1
  - PZ038861.1                                         Variants: 1
  - PZ222141.1                                         Variants: 1
  - PZ212747.1                                         Variants: 1
  - PZ038879.1                                         Variants: 1
  - PZ038852.1                                         Variants: 1
  - PZ038902.1                                         Variants: 1
  - PZ212733.1                                         Variants: 1
  - PZ212744.1                                         Variants: 1
  - PZ212766.1                                         Variants: 1
  - PZ225501.1                                         Variants: 1
  - PZ038863.1                                         Variants: 1
  - PZ225499.1                                         Variants: 1
  - PZ225530.1                                         Variants: 1
  - PZ222090.1                                         Variants: 1
  - PZ038836.1                                         Variants: 1
  - PZ038833.1                                         Variants: 1
  - PZ225507.1                                         Variants: 1
  - PZ038874.1                                         Variants: 1
  - PZ225545.1                                         Variants: 1
  - PZ225506.1                                         Variants: 1
  - PZ222124.1                                         Variants: 1
  - PZ212745.1                                         Variants: 1
  - PZ222113.1                                         Variants: 1
  - PZ212756.1                                         Variants: 1
  - PZ225474.1                                         Variants: 1
  - PZ038871.1                                         Variants: 1
  - PZ038843.1                                         Variants: 1
  - PZ222112.1                                         Variants: 1
  - PZ038802.1                                         Variants: 1
  - PZ212728.1                                         Variants: 1
  - PZ038806.1                                         Variants: 1
  - PZ038854.1                                         Variants: 1
  - PZ212739.1                                         Variants: 1
  - PZ225523.1                                         Variants: 1
  - PZ225519.1                                         Variants: 1
  - PZ212734.1                                         Variants: 1
  - PZ222140.1                                         Variants: 1
  - PZ038870.1                                         Variants: 1
  - PZ225484.1                                         Variants: 1
  - PZ222093.1                                         Variants: 1
  - PZ212724.1                                         Variants: 1
  - PZ038819.1                                         Variants: 1
  - PZ222119.1                                         Variants: 1
  - PZ225490.1                                         Variants: 1
  - PZ038804.1                                         Variants: 1
  - PZ212755.1                                         Variants: 1
  - PZ038906.1                                         Variants: 1
  - PZ038891.1                                         Variants: 1
  - PZ222111.1                                         Variants: 1
  - PZ212785.1                                         Variants: 1
  - PZ038856.1                                         Variants: 1
  - PZ038883.1                                         Variants: 1
  - PZ038888.1                                         Variants: 1
  - PZ212717.1                                         Variants: 1
  - PZ038838.1                                         Variants: 1
  - PZ212757.1                                         Variants: 1
  - PZ225527.1                                         Variants: 1
  - PZ225480.1                                         Variants: 1
  - PZ222092.1                                         Variants: 1
  - PZ038822.1                                         Variants: 1
  - PZ038821.1                                         Variants: 1
  - PX787940.1                                         Variants: 1
  - PZ222132.1                                         Variants: 1
  - PZ038794.1                                         Variants: 1
  - PZ038803.1                                         Variants: 1
  - PZ038842.1                                         Variants: 1
  - PZ038832.1                                         Variants: 1
  - PZ038908.1                                         Variants: 1
  - PZ225479.1                                         Variants: 1
  - PZ222102.1                                         Variants: 1
  - PZ225472.1                                         Variants: 1
  - PZ038905.1                                         Variants: 1
  - PZ212772.1                                         Variants: 1
  - PZ038907.1                                         Variants: 1
  - PZ038837.1                                         Variants: 1
  - PZ225493.1                                         Variants: 1
  - PZ038859.1                                         Variants: 1
  - PZ038834.1                                         Variants: 1
  - PZ038825.1                                         Variants: 1
  - PZ222108.1                                         Variants: 1
  - PZ212729.1                                         Variants: 1
  - PZ212762.1                                         Variants: 1
  - PZ212777.1                                         Variants: 1
  - PZ222088.1                                         Variants: 1
  - PZ222146.1                                         Variants: 1
  - PZ225481.1                                         Variants: 1
  - PZ222129.1                                         Variants: 1
  - PZ038826.1                                         Variants: 1
  - PZ225496.1                                         Variants: 1
  - PZ212769.1                                         Variants: 1
  - PZ225511.1                                         Variants: 1
  - PZ212761.1                                         Variants: 1
  - PZ225504.1                                         Variants: 1
  - PZ212738.1                                         Variants: 1
  - PZ212746.1                                         Variants: 1
  - PZ038797.1                                         Variants: 1
  - PZ225525.1                                         Variants: 1
  - PZ038899.1                                         Variants: 1
  - PZ222131.1                                         Variants: 1
  - PZ038876.1                                         Variants: 1
  - PZ222110.1                                         Variants: 1
  - PZ038894.1                                         Variants: 1
  - PZ212723.1                                         Variants: 1
  - PZ222094.1                                         Variants: 1
  - PZ222145.1                                         Variants: 1
  - PZ038881.1                                         Variants: 1
  - PZ038823.1                                         Variants: 1
  - PZ212719.1                                         Variants: 1
  - PZ038875.1                                         Variants: 1
  - PZ222137.1                                         Variants: 1
  - PZ212721.1                                         Variants: 1
  - PZ038896.1                                         Variants: 1
  - PZ222150.1                                         Variants: 1
  - PZ225475.1                                         Variants: 1
  - PZ038878.1                                         Variants: 1
  - PZ212760.1                                         Variants: 1
  - PZ212725.1                                         Variants: 1
  - PZ225476.1                                         Variants: 1
  - PZ225545.1                                         Variants: 1
  - PZ222116.1                                         Variants: 1
  - PZ212718.1                                         Variants: 1
  - PZ225516.1                                         Variants: 1
  - PZ225489.1                                         Variants: 1
  - PZ222100.1                                         Variants: 1
  - PZ222098.1                                         Variants: 1
  - PZ225494.1                                         Variants: 1
  - PZ222097.1                                         Variants: 1
  - PZ038809.1                                         Variants: 1
  - PZ225473.1                                         Variants: 1
  - PZ038817.1                                         Variants: 1
  - PZ038860.1                                         Variants: 1
  - PZ038844.1                                         Variants: 1
  - PZ038857.1                                         Variants: 1
  - PZ212765.1                                         Variants: 1
  - PZ212713.1                                         Variants: 1
  - PZ222153.1                                         Variants: 1
  - PZ212737.1                                         Variants: 1
  - PZ225542.1                                         Variants: 1
  - PZ225483.1                                         Variants: 1
  - PZ225502.1                                         Variants: 1
  - PZ038850.1                                         Variants: 1
  - PZ222143.1                                         Variants: 1
  - PZ038853.1                                         Variants: 1
  - PZ225485.1                                         Variants: 1
  - PZ212743.1                                         Variants: 1
  - PZ225521.1                                         Variants: 1
  - PZ222109.1                                         Variants: 1
  - PZ038845.1                                         Variants: 1
  - PZ222123.1                                         Variants: 1
  - PZ225540.1                                         Variants: 1
  - PZ225478.1                                         Variants: 1
  - PZ038816.1                                         Variants: 1
  - PZ038909.1                                         Variants: 1
  - PZ212720.1                                         Variants: 1
  - PZ038807.1                                         Variants: 1
  - PZ038901.1                                         Variants: 1
  - PZ038886.1                                         Variants: 1
  - PZ212758.1                                         Variants: 1
  - PZ222095.1                                         Variants: 1
  - PZ212730.1                                         Variants: 1
  - PZ225477.1                                         Variants: 1
  - PZ222152.1                                         Variants: 1
  - PZ212776.1                                         Variants: 1
  - PZ212726.1                                         Variants: 1
  - PZ038812.1                                         Variants: 1
  - PZ038835.1                                         Variants: 1
  - PZ222126.1                                         Variants: 1
  - PZ225495.1                                         Variants: 1
  - PZ038839.1                                         Variants: 1
  - PZ222135.1                                         Variants: 1
  - PZ222089.1                                         Variants: 1
  - PZ225526.1                                         Variants: 1
  - PZ212732.1                                         Variants: 1
  - PZ212763.1                                         Variants: 1
  - PZ225487.1                                         Variants: 1
  - PZ225532.1                                         Variants: 1
  - PZ038890.1                                         Variants: 1
  - PZ212784.1                                         Variants: 1
  - PZ212773.1                                         Variants: 1
  - PZ222136.1                                         Variants: 1
  - PZ212781.1                                         Variants: 1
  - PZ225531.1                                         Variants: 1
  - PZ222142.1                                         Variants: 1
  - PZ222147.1                                         Variants: 1
  - PZ212774.1                                         Variants: 1
  - PZ222151.1                                         Variants: 1
  - PZ038800.1                                         Variants: 1
  - PZ225529.1                                         Variants: 1
  - PZ038815.1                                         Variants: 1
  - PZ225518.1                                         Variants: 1
  - PZ038808.1                                         Variants: 1
  - PZ225492.1                                         Variants: 1
  - PZ212764.1                                         Variants: 1
  - PZ222106.1                                         Variants: 1
  - PZ038889.1                                         Variants: 1
  - PZ212780.1                                         Variants: 1
  - PZ222130.1                                         Variants: 1
  - PZ212741.1                                         Variants: 1
  - PZ038887.1                                         Variants: 1
  - PZ212771.1                                         Variants: 1
  - PZ038880.1                                         Variants: 1
  - PZ038869.1                                         Variants: 1
  - PZ222114.1                                         Variants: 1
  - PZ225512.1                                         Variants: 1
  - PZ038873.1                                         Variants: 1
  - PZ212775.1                                         Variants: 1
  - PZ038799.1                                         Variants: 1
  - PZ212752.1                                         Variants: 1
  - PZ222148.1                                         Variants: 1
  - PZ038893.1                                         Variants: 1
  - PZ038892.1                                         Variants: 1
  - PZ038867.1                                         Variants: 1
  - PZ225500.1                                         Variants: 1
  - PZ225503.1                                         Variants: 1
  - PZ212749.1                                         Variants: 1
  - PZ038829.1                                         Variants: 1
  - PZ212782.1                                         Variants: 1
  - PZ212722.1                                         Variants: 1
  - PZ038840.1                                         Variants: 1
  - PZ038897.1                                         Variants: 1
  - PZ225533.1                                         Variants: 1
  - PZ225543.1                                         Variants: 1
  - PZ212753.1                                         Variants: 1
  - PZ212716.1                                         Variants: 1
  - PZ225508.1                                         Variants: 1
  - PZ222118.1                                         Variants: 1
  - PZ212783.1                                         Variants: 1
  - PZ038866.1                                         Variants: 1
  - PZ225515.1                                         Variants: 1
  - PZ038813.1                                         Variants: 1
  - PZ225488.1                                         Variants: 1
  - PZ222103.1                                         Variants: 1
